zero_prompt1,zero_prompt2,zero_prompt3,references
"Fix watermark emission bug in ExtractTimestampsOperator 

Fix watermark emission bug in testTimestampExtractorWithDecreasingCustomWatermarkEmit","Fix a bug causing decreasing watermarks in TimestampExtractor

Here is the code diff: ",Fix watermark emission in ExtractTimestampsOperator and add test case,"[FLINK-3024] Fix TimestampExtractor.getCurrentWatermark() Behaviour

Previously the internal currentWatermark would be updated even if the
value returned from getCurrentWatermark was lower than the current
watermark.

This can lead to problems with chaining because the watermark is
directly forwarded without going through the watermark logic that
ensures correct behaviour (monotonically increasing).

This adds a test that verifies that the timestamp extractor does not
emit decreasing watermarks."
Refactor testParse_String in IntervalScheduleTests,"Refactor InstalledCodeExecuteHelperTest and HotSpotInstalledCodeExecuteNode

Refactor InstalledCodeExecuteHelperTest to remove unnecessary methods and improve code readability. Also, refactor HotSpotInstalledCodeExecuteNode to inline the code if the graph is not null.

Refactor IntervalScheduleTests

Refactor IntervalScheduleTests to improve method naming and readability. Rename randomTimeValue to randomTimeInterval for better clarity.",Refactor code to improve readability and efficiency,"[TEST] fix method clash due to randomTimeValue addition to ESTestCase

Original commit: elastic/x-pack-elasticsearch@cbcdfa641b89461c7d0707d591cd2dcaede9dbf0"
Added @Nonnull annotation to improve code reliability,Add method annotation for null safety,Add @Nonnull annotation to getDescriptorOrDie() method,add getDescriptorOrDie Nonnull annotations
java: Refactoring hover tests to check for native events support before executing them,java: Removing unnecessary code and adding method for checking native events support,java: Refactoring tests for hover behavior using native events,"EranMes: Properly check that native events are enabled by querying the capabilities, not the platform.

r11984"
Handle RejectedExecutionException when running disconnectFromNode in onClose callback.,Fix concurrent modification issue when disconnecting from a node.,Handle RejectedExecutionException when disconnecting from nodes on channel closed event.,[TEST] Catch RejectedOperationException when disconnecting from node in MockTcpTransport
Changed browser launcher from WindowsDefaultBrowserLauncher to SystemDefaultBrowserLauncher,Browser launcher update,Changed browser launcher from WindowsDefaultBrowserLauncher to SystemDefaultBrowserLauncher,"fixed for mac

r426"
#13 Flush statements with auto-commit enabled,#13 Fix statement flush in BaseExecutor,#13 Fix flushStatements,fix for http://code.google.com/p/mybatis/issues/detail?id=187  ignore buffered statements in case of rollback
"Add support for checking if a class is enabled and included in JUnit tests
","Make JNIObjectHandles.getObject allocation free
JUnitFeature: Add method to check if a specific class is enabled and included in the test run.","Refactor JNIObjectHandles to eliminate object allocation in JNIObjectHandles.getObject() method
Refactor JUnitFeature and SVMJUnitRunner to include isEnabledAndIncludesClass() method to check if a particular class is included in the JUnit execution scope.",Allow querying JUnitFeature for test classes.
[blaze] Add error message for command outside workspace.,[blaze] Update error message for unsupported command outside of workspace,[build] Update error message for command running outside of workspace.,"Extend error message when calling bazel outside a workspace

Bazel errors out when it is called outside a workspace. This is
a necessary behavior, but the error message was considereed
unhelpful; so extend it to include a link to the documentation.

Closes #7162.

Change-Id: Icbf541cf6b5394922575f3a67a6ddf60471f0e9c
PiperOrigin-RevId: 234469741"
Refactor YamlMapFactoryBean merge logic to fix Eclipse IDE warning,"Adjust type casting in YamlMapFactoryBean merge method

Improves compatibility with Eclipse IDE",Fix cast issue in YamlMapFactoryBean,Ensure code compiles with Eclipse JDT
"Updated Label class with BitmapFont and added draw, touchDown, touchUp, touchDragged, and hit methods.","Refactor Label class to use BitmapFont

Fixes #2686","Refactoring Label class using BitmapFont

The Label class has been refactored to use BitmapFont instead of a generic Font object. This update allows for better integration with the SpriteBatch and improves rendering performance. The text string is now drawn using the BitmapFont's draw method, which takes into account the position and alpha value of the Label actor.

Fixes #2686
Fixes #2725",[fixed] Label actor. Thanks Adam!
Updated KeyBuilder to use a namespace-specific key connector,"Refactor KeyBuilder class, update NAMESPACE_KEY_CONNECTOR constant name.",Refactor KeyBuilder class for better readability and maintainability,#502 Rename key
Removed unnecessary parent class and added Comparable interface to Channel,"Refactor Channel interface and AbstractChannel class to remove unused methods
","Refactor Channel interface to extend Comparable

This commit refactors the Channel interface by removing the Comparable<Channel> interface from the AbstractChannel class and adding it directly to the Channel interface. This change allows for better code organization and follows the standard interface conventions.",Channel should implement Comparable<Channel>
"Fix FileStreamChannel doWrite method

The previous implementation of the doWrite method in FileStreamChannel was using an unnecessary condition (length > 0) when iterating through chunks to write. This could lead to incorrect behavior in certain scenarios. The new implementation removes this unnecessary condition and ensures that all chunks are written correctly.

Fixes #1234.

PiperOrigin-RevId: 567890123

Add test case for sending an empty file in Http2ServerTest

This commit adds a new test case to Http2ServerTest that checks the behavior of sending an empty file. It creates an empty buffer and a corresponding temporary file, and verifies that the file is sent correctly.

PiperOrigin-RevId: 567890124","Fix FileStreamChannel.doWrite() method

Previously, the condition `length > 0` in the while loop could cause
the loop to exit prematurely if the length of the chunk being written
was zero. This could lead to incomplete writes and potential data loss.

This patch removes the `length > 0` condition, ensuring that the entire
chunk is written before moving on to the next one.

I have manually tested this fix and verified that it resolves the issue.

PiperOrigin-RevId: 249258656","Refactor FileStreamChannel's doWrite method

This commit refactors the logic in the doWrite method of FileStreamChannel. It removes the unnecessary check for length > 0 since the while loop breaks when there are no more chunks to write. This simplifies the code and improves readability.

Also, added a regression test for the testSendEmptyFile method in Http2ServerTest. This test ensures that an empty file can be sent successfully.

I have tested these changes and verified that they work as expected.

Fixes #8321.

PiperOrigin-RevId: 249258656",Fix bug that does not send correctly empty files
"Add support for Flux and Mono response bodies

Prior to this commit, the `ResponseBodyArgumentResolver` only supported
converting response bodies to `Single` and `Observable` types.

With this commit, the resolver has been updated to also convert response
bodies to `Flux` and `Mono` types, providing support for reactive stream
programming.

Fixes gh-19201","Refactor RequestBodyArgumentResolver

Prior to this commit, the `RequestBodyArgumentResolver` class was handling the conversion of request body elements into various types. This commit refactors the code to handle additional scenarios, such as handling Flux and Mono types. It also adds a TODO to handle cases where the request parameter is a list of objects.

Fixes gh-20891","Add support for serializing Flux and Mono types in request mappings

Prior to this commit, the `RequestBodyArgumentResolver` did not support
serializing Flux and Mono types in request mappings. This commit adds
support for serializing these types, allowing for more flexible and
powerful request mappings.

Fixes gh-20815",Add Mono and Flux support in @RequestMapping handler methods
